Constituency,Candidate,Party Name,Party,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,2021 RESULTS
Alandur,T.M.Anbarasan,Dravida Munnetra Kazhagam,DMK,116785,49.12,237751,17430100,116785,WIN
Alangudi,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,DMK,87935,51.17,171842,17430100,87935,WIN
Alangulam,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,74153,36.44,203478,15390974,74153,WIN
Ambasamudram,E.SUBAYA,All India Anna Dravida Munnetra Kazhagam,AIADMK,85211,47.96,177681,15390974,85211,WIN
Ambattur,JOSEPH SAMUEL,Dravida Munnetra Kazhagam,DMK,114554,47.67,240299,17430100,114554,WIN
Ambur,VILWANATHAN.A.C,Dravida Munnetra Kazhagam,DMK,90476,50.86,177878,17430100,90476,WIN
Anaikattu,A.P.Nandakumar,Dravida Munnetra Kazhagam,DMK,95159,48.11,197805,17430100,95159,WIN
Andipatti,A.MAHARAJAN,Dravida Munnetra Kazhagam,DMK,93541,44.64,209540,17430100,93541,WIN
Anna Nagar,M.K. Mohan,Dravida Munnetra Kazhagam,DMK,80054,48.49,165096,17430100,80054,WIN
Anthiyur,VENKATACHALAM.A.G,Dravida Munnetra Kazhagam,DMK,79096,44.84,176385,17430100,79096,WIN
Arani,S.RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,102961,46.5,221422,15390974,102961,WIN
Aravakurichi,ELANGO. R,Dravida Munnetra Kazhagam,DMK,93369,52.72,177114,17430100,93369,WIN
Arcot,J.L.Eswarappan,Dravida Munnetra Kazhagam,DMK,103885,49.52,209791,17430100,103885,WIN
Ariyalur,CHINNAPPA K,Dravida Munnetra Kazhagam,DMK,103975,46.16,225225,17430100,103975,WIN
Aruppukkottai,K.K.S.S.R.RAMACHANDRAN,Dravida Munnetra Kazhagam,DMK,91040,53.18,171201,17430100,91040,WIN
Athoor,PERIYASAMY I,Dravida Munnetra Kazhagam,DMK,165809,72.11,229940,17430100,165809,WIN
Attur,"JAYASANKARAN, A.P.",All India Anna Dravida Munnetra Kazhagam,AIADMK,95308,47.72,199743,15390974,95308,WIN
Avadi,Nasar S M,Dravida Munnetra Kazhagam,DMK,150287,49.94,300927,17430100,150287,WIN
Avanashi,"DHANAPAL, P",All India Anna Dravida Munnetra Kazhagam,AIADMK,117284,55.16,212627,15390974,117284,WIN
Bargur,MATHIAZHAGAN D,Dravida Munnetra Kazhagam,DMK,97256,49.17,197784,17430100,97256,WIN
Bhavani,KARUPPANAN.K.C,All India Anna Dravida Munnetra Kazhagam,AIADMK,100915,50.11,201385,15390974,100915,WIN
Bhuvanagiri,Arunmozhithevan. A,All India Anna Dravida Munnetra Kazhagam,AIADMK,96453,48.92,197165,15390974,96453,WIN
Bodinayakanur,O.PANNEERSELVAM,All India Anna Dravida Munnetra Kazhagam,AIADMK,100050,46.58,214795,15390974,100050,WIN
Chengalpattu,VARALAKSHMI.M,Dravida Munnetra Kazhagam,DMK,130573,47.64,274087,17430100,130573,WIN
Chengam,GIRI.M.P,Dravida Munnetra Kazhagam,DMK,108081,48.26,223950,17430100,108081,WIN
Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,DMK,93285,67.89,137405,17430100,93285,WIN
Cheyyar,JOTHI. O,Dravida Munnetra Kazhagam,DMK,102460,47.78,214460,17430100,102460,WIN
Coimbatore (North),AMMAN K.ARJUNAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,81454,40.16,202799,15390974,81454,WIN
Coonoor,"Ramachandran, K.",Dravida Munnetra Kazhagam,DMK,61820,45.49,135908,17430100,61820,WIN
Cuddalore,G.IYAPPAN,Dravida Munnetra Kazhagam,DMK,84563,46.46,182001,17430100,84563,WIN
Cumbum,N.Ramakrishnan,Dravida Munnetra Kazhagam,DMK,104800,51.81,202275,17430100,104800,WIN
Dharapuram,KAYALVIZHI N,Dravida Munnetra Kazhagam,DMK,89986,46.39,193991,17430100,89986,WIN
Dharmapuri,VENKATESHWARAN.S.P.,Pattali Makkal Katchi,PMK,105630,48.6,217333,1758774,105630,WIN
Dr.Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,Dravida Munnetra Kazhagam,DMK,95763,51.2,187027,17430100,95763,WIN
Edappadi,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,AIADMK,163154,65.97,247301,15390974,163154,WIN
Egmore,I.PARANTHAMEN,Dravida Munnetra Kazhagam,DMK,68832,57.71,119271,17430100,68832,WIN
Erode (West),Muthusamy S,Dravida Munnetra Kazhagam,DMK,100757,49.01,205579,17430100,100757,WIN
Gangavalli,"NALLATHAMBI,A.",All India Anna Dravida Munnetra Kazhagam,AIADMK,89568,48.02,186503,15390974,89568,WIN
Gingee,MASTHAN K S,Dravida Munnetra Kazhagam,DMK,109625,52.99,206880,17430100,109625,WIN
Gobichettipalayam,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,AIADMK,108608,50.68,214281,15390974,108608,WIN
Gudalur,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,64496,46.65,138257,15390974,64496,WIN
Gudiyattam,Amulu.V,Dravida Munnetra Kazhagam,DMK,100412,47.45,211630,17430100,100412,WIN
Gummidipoondi,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,DMK,126452,56.94,222069,17430100,126452,WIN
Harbour,SEKARBABU. P.K,Dravida Munnetra Kazhagam,DMK,59317,58.35,101650,17430100,59317,WIN
Hosur,PRAKAASH Y,Dravida Munnetra Kazhagam,DMK,118231,47.65,248098,17430100,118231,WIN
Jayankondam,KANNAN KA SO KA,Dravida Munnetra Kazhagam,DMK,99529,46,216368,17430100,99529,WIN
Jolarpet,DEVARAJI.K.,Dravida Munnetra Kazhagam,DMK,89490,45.57,196358,17430100,89490,WIN
Kalasapakkam,Saravanan.P.S.T,Dravida Munnetra Kazhagam,DMK,94134,47.92,196434,17430100,94134,WIN
Kancheepuram,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,DMK,102712,44.77,229432,17430100,102712,WIN
Kangayam,SAMINATHAN.M.P,Dravida Munnetra Kazhagam,DMK,94197,47.14,199818,17430100,94197,WIN
Kanniyakumari,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,AIADMK,109745,48.8,224874,15390974,109745,WIN
Karur,SENTHILBALAJI V,Dravida Munnetra Kazhagam,DMK,101757,49.08,207310,17430100,101757,WIN
Katpadi,DURAIMURUGAN,Dravida Munnetra Kazhagam,DMK,85140,45.71,186246,17430100,85140,WIN
Kavundampalayam,G.Arunkumar,All India Anna Dravida Munnetra Kazhagam,AIADMK,135669,43.78,309918,15390974,135669,WIN
Kilpennathur,K.Pitchandi,Dravida Munnetra Kazhagam,DMK,104675,51.34,203886,17430100,104675,WIN
Kilvaithinankuppam,M.JAGAN MOORTHY,All India Anna Dravida Munnetra Kazhagam,AIADMK,84579,48.57,174124,15390974,84579,WIN
Kinathukadavu,Damodaran.S,All India Anna Dravida Munnetra Kazhagam,AIADMK,101537,43.68,232435,15390974,101537,WIN
Kolathur,M.K. STALIN,Dravida Munnetra Kazhagam,DMK,105522,60.86,173388,17430100,105522,WIN
Krishnagiri,Ashokkumar.K,All India Anna Dravida Munnetra Kazhagam,AIADMK,96050,45.38,211648,15390974,96050,WIN
Krishnarayapuram,SIVAGAMA SUNDARI.K,Dravida Munnetra Kazhagam,DMK,96540,53.37,180902,17430100,96540,WIN
Kulithalai,R.Manickam,Dravida Munnetra Kazhagam,DMK,100829,51.06,197456,17430100,100829,WIN
Kumarapalayam,THANGAMANI.P,All India Anna Dravida Munnetra Kazhagam,AIADMK,100800,49.92,201925,15390974,100800,WIN
Kumbakonam,"ANBALAGAN, G.",Dravida Munnetra Kazhagam,DMK,96057,48.62,197564,17430100,96057,WIN
Kunnam,"SIVASANKAR, S.S.",Dravida Munnetra Kazhagam,DMK,103922,47.26,219879,17430100,103922,WIN
Kurinjipadi,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,DMK,101456,51.04,198781,17430100,101456,WIN
Lalgudi,A.SOUNDARAPANDIAN,Dravida Munnetra Kazhagam,DMK,84914,48.59,174754,17430100,84914,WIN
Madathukulam,C MAHENDRAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,84313,46.35,181902,15390974,84313,WIN
Madavaram,SUDHARSANAM. S,Dravida Munnetra Kazhagam,DMK,151485,50.04,302700,17430100,151485,WIN
Madurai Central,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,DMK,73205,48.99,149430,17430100,73205,WIN
Madurai East,MOORTHY P,Dravida Munnetra Kazhagam,DMK,122729,51.59,237892,17430100,122729,WIN
Madurai North,THALAPATHI G,Dravida Munnetra Kazhagam,DMK,73010,46.64,156556,17430100,73010,WIN
Madurai South,BOOMINATHAN.M,Dravida Munnetra Kazhagam,DMK,62812,42.49,147833,17430100,62812,WIN
Madurai West,RAJU. K,All India Anna Dravida Munnetra Kazhagam,AIADMK,83883,41.59,201694,15390974,83883,WIN
Madurantakam,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,AIADMK,86646,46.62,185842,15390974,86646,WIN
Maduravoyal,GANAPATHY.K,Dravida Munnetra Kazhagam,DMK,121298,44.29,273870,17430100,121298,WIN
Mailam,SIVAKUMAR C,Pattali Makkal Katchi,PMK,81044,45.79,176989,1758774,81044,WIN
Manachanallur,S. KATHIRAVAN,Dravida Munnetra Kazhagam,DMK,116334,59.14,196719,17430100,116334,WIN
Manamadurai,Tamilarasi A.,Dravida Munnetra Kazhagam,DMK,89364,44.01,203061,17430100,89364,WIN
Manapparai,ABDUL SAMAD P,Dravida Munnetra Kazhagam,DMK,98077,44.23,221748,17430100,98077,WIN
Mannargudi,RAJAA T R B,Dravida Munnetra Kazhagam,DMK,87172,45.11,193229,17430100,87172,WIN
Mettuppalayam,SELVARAJ A K,All India Anna Dravida Munnetra Kazhagam,AIADMK,105231,46.75,225083,15390974,105231,WIN
Mettur,SADHASIVAM.S,Pattali Makkal Katchi,PMK,97055,44.43,218442,1758774,97055,WIN
Modakkurichi,SARASWATHI.C,Bharatiya Janata Party,BJP,78125,42.96,181857,1213510,78125,WIN
Mudhukulathur,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,DMK,101901,46.06,221213,17430100,101901,WIN
Musiri,N. Thiyagarajan,Dravida Munnetra Kazhagam,DMK,90624,50.43,179706,17430100,90624,WIN
Mylapore,VELU.DHA,Dravida Munnetra Kazhagam,DMK,68392,44.58,153430,17430100,68392,WIN
Nagercoil,Gandhi M.R.,Bharatiya Janata Party,BJP,88804,48.21,184185,1213510,88804,WIN
Namakkal,RAMALINGAM P,Dravida Munnetra Kazhagam,DMK,106494,51.51,206759,17430100,106494,WIN
Nannilam,KAMARAJ R,All India Anna Dravida Munnetra Kazhagam,AIADMK,103637,46.7,221944,15390974,103637,WIN
Natham,NATHAM.R.VISWANATHAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,107762,47.84,225244,15390974,107762,WIN
